provinceID = 9
year,week,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
1982 38   0.00,  0.00,  0.43,  0.91,  2.74,  6.94, 10.81, 13.72, 17.97, 16.41, 12.32,  8.12,  4.79,  2.96,  1.08,  0.43,  0.27,  0.05,  0.05,  0.00,  0.00
1982 39   0.00,  0.05,  0.48,  1.56,  3.98,  8.61, 11.30, 15.87, 15.92, 14.90, 11.46,  7.58,  4.73,  2.10,  0.91,  0.48,  0.00,  0.00,  0.05,  0.00,  0.00
1982 40   0.00,  0.16,  1.24,  3.34,  6.83, 11.14, 15.28, 16.19, 13.88, 12.37, 10.01,  5.65,  1.88,  1.56,  0.38,  0.05,  0.05,  0.00,  0.00,  0.00,  0.00
1982 41   0.05,  0.22,  1.99,  4.79,  8.88, 14.52, 16.94, 16.46, 13.93, 11.19,  6.40,  3.12,  1.08,  0.27,  0.11,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00
1982 42   0.00,  0.32,  2.10,  6.19, 12.00, 17.81, 17.59, 17.64, 12.75,  7.85,  3.77,  1.08,  0.70,  0.11,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 43   0.00,  0.11,  0.81,  4.46, 13.50, 17.16, 22.97, 16.68, 12.43,  6.72,  3.17,  1.34,  0.38,  0.22,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 44   0.00,  0.22,  1.34,  9.95, 20.44, 24.21, 20.06, 12.59,  6.72,  2.69,  1.24,  0.32,  0.16,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 45   0.00,  0.65,  2.74, 15.60, 25.28, 26.09, 16.14,  8.23,  3.93,  0.97,  0.27,  0.11,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 46   0.00,  0.32,  2.21, 12.96, 25.28, 28.51, 17.43,  8.77,  3.12,  1.18,  0.11,  0.05,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 47   0.00,  0.11,  1.24,  8.93, 23.99, 30.02, 20.33,  9.52,  4.20,  1.40,  0.16,  0.05,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 48   0.00,  0.05,  0.59,  4.84, 17.37, 26.36, 26.41, 14.52,  7.05,  2.15,  0.59,  0.00,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 49   0.00,  0.00,  0.97,  3.77, 14.25, 21.73, 24.05, 18.02, 11.03,  4.03,  1.61,  0.48,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 50   0.00,  0.05,  1.34,  4.63, 12.32, 18.18, 20.12, 18.29, 12.59,  7.53,  3.66,  1.24,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 51   0.00,  0.00,  0.97,  3.98, 10.76, 15.06, 19.53, 19.63, 13.88,  9.25,  5.00,  1.88,  0.05,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1982 52   0.00,  0.05,  0.75,  2.90,  8.39, 15.92, 19.42, 20.33, 15.65,  9.14,  5.00,  2.21,  0.22,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1983 01   0.00,  0.05,  0.48,  3.12,  8.34, 13.61, 19.85, 21.52, 15.92,  9.36,  4.52,  2.80,  0.43,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
